FILE: evap-pan.xls Updated: 7/24/2012 by John P. Anderson
File header updated by Ken Ramsey on 02/11/2013.

Data entered & verified in KeyesPunch dataentry software beginning with date 5/8/12. 
Data appended to this file from KeyesPunch data output file

Variable description:
interval_days = number of days between readings (date_read minus begin_period)
date_start = beginning date on which evaporation calculation is based
date_read = date of measurement
time = military time of measurement
curT = current water temperature (F)
minT = minimum water temperature since last reading (F)
maxT = maximum water temperature since last reading (F)
i_water = initial water level (inches)
f_water = final water level after evaporation (inches)
rain = rainfall since last measurement (inches)
init = initials of field reader
evap = evaporation since last good measurement (begin_period to date_read) (inches)
qflag = quality flag (C=good data. Comment present; G=good data; E=esimated water level; H=water level too high to measure; I=ice in pan; L=water level too low to measure; Q=questionable water level; R=missing rain data; T=missing min or max temperature; W=missing water level
comment = comment

interval_days,date_start,date_read,time,curT,minT,maxT,i_water,f_water,rain,init,evap,qflag,comment
7,07/02/1984,07/09/1984,.,69,58,103,2.935,0.099,0.00,.,2.836,G,
7,07/09/1984,07/16/1984,.,86,59,102,3.452,0.005,0.00,.,3.447,G,
7,07/16/1984,07/23/1984,.,70,60,100,3.120,1.708,0.30,.,1.712,G,
7,07/23/1984,07/30/1984,.,77,57,98,3.612,2.065,0.00,.,1.547,G,
7,07/30/1984,08/06/1984,.,67,58,100,3.834,2.664,0.80,.,1.970,G,
7,08/06/1984,08/13/1984,.,75,61,97,3.740,3.339,0.70,.,1.101,G,
7,08/13/1984,08/20/1984,.,65,59,94,4.066,2.488,0.10,.,1.678,G,
7,08/20/1984,08/27/1984,.,78,59,95,3.736,4.446,2.35,.,1.640,E,"Precip est. within 0.05"""
8,08/27/1984,09/04/1984,.,62,55,98,4.446,2.268,0.20,.,2.378,G,
6,09/04/1984,09/10/1984,.,67,50,96,3.838,2.062,0.00,.,1.776,G,
7,09/10/1984,09/17/1984,.,62,50,98,3.944,1.765,0.00,.,2.179,G,
7,09/17/1984,09/24/1984,.,64,54,92,3.358,1.767,0.00,.,1.591,G,
7,09/24/1984,10/01/1984,.,59,47,90,3.536,2.761,0.00,.,0.775,G,
7,10/01/1984,10/08/1984,.,53,48,83,3.828,3.250,1.00,.,1.578,G,
7,10/08/1984,10/15/1984,.,56,44,83,3.250,3.055,0.55,.,0.745,G,
7,10/15/1984,10/22/1984,.,45,37,76,3.055,2.567,0.52,.,1.008,G,
7,10/22/1984,10/29/1984,.,60,38,74,2.567,3.554,1.30,.,0.313,G,
7,10/29/1984,11/05/1984,.,54,38,76,3.554,2.582,0.00,.,0.972,G,
7,11/05/1984,11/12/1984,.,46,34,76,2.839,2.668,0.00,.,0.171,G,
7,11/12/1984,11/19/1984,.,55,34,76,2.668,2.589,0.12,.,0.199,G,
7,11/19/1984,11/26/1984,.,44,33,59,2.589,2.690,0.80,.,0.699,G,
7,11/26/1984,12/03/1984,.,44,30,62,3.008,2.348,0.00,.,0.660,G,
7,12/03/1984,12/10/1984,.,49,31,62,2.348,2.263,0.17,.,0.255,G,
7,12/10/1984,12/17/1984,.,49,31,61,3.384,2.985,0.67,.,1.069,G,
14,12/17/1984,12/31/1984,.,59,33,59,3.860,3.860,1.63,.,1.630,G,
7,12/31/1984,01/07/1985,.,43,31,58,3.860,2.602,0.00,.,1.258,G,
7,01/07/1985,01/14/1985,.,.,., .,2.602,  .,.,.,.,M,not checked due to snow
14,01/07/1985,01/21/1985,.,35,29,67,2.602,2.812,0.40,.,0.190,C,snow.
7,01/21/1985,01/28/1985,.,39,32,77,2.812,3.000,0.56,.,0.372,G,
7,01/28/1985,02/04/1985,.,42,31,57, .,  .,0.18,.,.,I,frozen pan
7,02/04/1985,02/11/1985,.,41,30,64,3.000,2.450,0.00,.,.,I,"level includes ~1"" ice"
28,01/21/1985,02/18/1985,.,53,32,75,3.000,1.156,0.00,.,1.844,C,[Final level (3.000) from 1/28/85 used when there was no ice; no additional water was added on that day.]
7,02/18/1985,02/25/1985,.,72,31,74,1.156,  .,0.14,.,.,L,water too low to read
7,02/25/1985,03/04/1985,.,45,29,75,1.738,  .,0.00,.,.,M,added water only
7,03/04/1985,03/11/1985,.,65,38,82,3.312,2.089,0.00,.,1.223,G,
7,03/11/1985,03/18/1985,.,63,35,77,3.312,2.780,0.48,.,1.012,G,
7,03/18/1985,03/25/1985,.,66,36,83,2.780,1.387,0.03,.,1.423,G,
7,03/25/1985,04/01/1985,.,60,30,80,3.004,1.220,0.02,.,1.804,G,
7,04/01/1985,04/08/1985,.,67,39,89,3.380,1.082,0.00,.,2.298,G,
7,04/08/1985,04/15/1985,.,76,45,93,3.174,1.496,0.00,.,1.678,G,
7,04/15/1985,04/22/1985,.,66,42,91,3.214,0.066,0.00,.,3.148,G,
