FILE: evap-pan.xls Updated: 7/24/2012 by John P. Anderson
File header updated by Ken Ramsey on 02/11/2013.

Data entered & verified in KeyesPunch dataentry software beginning with date 5/8/12. 
Data appended to this file from KeyesPunch data output file

Variable description:
interval_days = number of days between readings (date_read minus begin_period)
date_start = beginning date on which evaporation calculation is based
date_read = date of measurement
time = military time of measurement
curT = current water temperature (F)
minT = minimum water temperature since last reading (F)
maxT = maximum water temperature since last reading (F)
i_water = initial water level (inches)
f_water = final water level after evaporation (inches)
rain = rainfall since last measurement (inches)
init = initials of field reader
evap = evaporation since last good measurement (begin_period to date_read) (inches)
qflag = quality flag (C=good data. Comment present; G=good data; E=esimated water level; H=water level too high to measure; I=ice in pan; L=water level too low to measure; Q=questionable water level; R=missing rain data; T=missing min or max temperature; W=missing water level
comment = comment

interval_days,date_start,date_read,time,curT,minT,maxT,i_water,f_water,rain,init,evap,qflag,comment
7,12/16/1987,12/23/1987,.,59,29,62,3.741,  .,0.30,.,.,M,
7,12/23/1987,12/30/1987,.,42,29,61,4.003,  .,0.33,.,.,I,ice in pan.
35,12/02/1987,01/06/1988,.,56,31,59,4.003,3.932,0.09,.,0.761,C,[Evap includes rain from 12/2/87-1/6/88]
7,01/06/1988,01/13/1988,.,50,32,58,3.932,3.404,0.00,.,0.528,G,
7,01/13/1988,01/20/1988,.,43,29,54,3.404,2.915,0.27,.,0.759,G,
7,01/20/1988,01/27/1988,.,52,29,53,2.915,2.565,0.00,.,0.350,G,
7,01/27/1988,02/03/1988,.,.,., .,3.811,  .,.,.,.,I,snow & ice in evap. pan.
14,01/27/1988,02/10/1988,.,63,31,65,3.811,3.393,0.59,.,1.008,G,
8,02/10/1988,02/18/1988,.,56,32,65,4.243,3.411,0.43,.,1.262,G,
6,02/18/1988,02/24/1988,.,67,31,68,3.411,2.918,0.13,.,0.623,G,
7,02/24/1988,03/02/1988,.,59,36,74,4.456,3.214,0.00,.,1.242,G,
8,03/02/1988,03/10/1988,.,52,33,71,3.214,2.067,0.19,.,1.337,G,
6,03/10/1988,03/16/1988,.,65,33,71,4.703,3.129,0.00,.,1.574,G,
7,03/16/1988,03/23/1988,.,80,30,81,3.129,1.615,0.00,.,1.514,G,
7,03/23/1988,03/30/1988,.,69,34,80,4.192,1.774,0.00,.,2.418,G,
8,03/30/1988,04/07/1988,.,86,33,89,1.774,0.000,0.00,.,1.774,G,
6,04/07/1988,04/13/1988,.,71,47,85,3.962,2.348,0.00,.,1.614,G,
7,04/13/1988,04/20/1988,.,78,36,82,4.401,3.507,0.40,.,1.294,C,"GRG=0.03""4/14; 0.37""4/16-4/17"
7,04/20/1988,04/27/1988,.,82,39,86,4.608,2.263,0.00,.,2.345,G,
7,04/27/1988,05/04/1988,.,57,46,85,4.546,2.451,0.13,.,2.225,G,
7,05/04/1988,05/11/1988,.,70,40,92,4.087,1.068,0.00,.,3.019,G,
7,05/11/1988,05/18/1988,.,85,52,94,4.741,2.175,0.29,.,2.856,G,
6,05/18/1988,05/24/1988,.,56,47,92,4.517,2.006,0.03,.,2.541,G,
8,05/24/1988,06/01/1988,.,56,44,91,4.943,2.189,0.00,.,2.754,G,
7,06/01/1988,06/08/1988,.,54,49,94,4.532,1.397,0.00,.,3.135,G,
7,06/08/1988,06/15/1988,.,71,52,92,4.946,1.702,0.16,.,3.404,G,
7,06/15/1988,06/22/1988,.,71,56,98,4.699,1.276,0.00,.,3.423,G,
7,06/22/1988,06/29/1988,.,74,59,96,4.918,3.231,0.83,.,2.517,G,
7,06/29/1988,07/06/1988,.,67,62,96,4.913,3.286,0.76,.,2.387,G,
7,07/06/1988,07/13/1988,.,66,62,99,3.286,3.153,2.23,.,2.363,G,
7,07/13/1988,07/20/1988,.,65,62,102,3.153,1.556,0.58,.,2.177,G,
7,07/20/1988,07/27/1988,.,95,58,99,4.837,2.593,0.15,.,2.394,G,
7,07/27/1988,08/03/1988,.,64,62,96,4.014,2.669,0.69,.,2.035,G,
7,08/03/1988,08/10/1988,.,66,61,96,4.315,3.759,1.02,.,1.576,G,
7,08/10/1988,08/17/1988,.,78,60,98,3.759,2.812,1.08,.,2.027,G,
7,08/17/1988,08/24/1988,.,72,60,99,1.639,  .,0.26,.,.,L,water too low to read
8,08/24/1988,09/01/1988,.,77,57,95,3.271,2.506,0.64,.,1.405,G,
5,09/01/1988,09/06/1988,.,75,53,92,5.082,4.441,0.68,.,1.321,G,
9,09/06/1988,09/15/1988,.,69,50,87,4.441,2.163,0.22,.,2.498,G,
7,09/15/1988,09/22/1988,.,79,48,87,4.404,2.723,0.19,.,1.871,G,
5,09/22/1988,09/27/1988,.,79,45,86,2.723,1.495,0.00,.,1.228,G,
7,09/27/1988,10/04/1988,.,79,46,83,4.503,2.542,0.00,.,1.961,G,
7,10/04/1988,10/11/1988,.,56,45,81,4.401,3.852,0.79,.,1.339,G,
7,10/11/1988,10/18/1988,.,80,45,83,3.852,3.064,0.35,.,1.138,G,
7,10/18/1988,10/25/1988,.,68,46,81,4.475,3.022,0.28,.,1.733,G,
7,10/25/1988,11/01/1988,.,60,43,75,4.575,3.519,0.00,.,1.056,G,
7,11/01/1988,11/08/1988,.,66,39,72,5.037,3.283,0.00,.,1.754,G,
7,11/08/1988,11/15/1988,.,53,37,73,4.661,3.048,0.00,.,1.613,G,
7,11/15/1988,11/22/1988,.,52,30,59,3.048,2.191,0.00,.,0.857,G,
7,11/22/1988,11/29/1988,.,48,30,58,4.475,3.485,0.08,.,1.070,G,
7,11/29/1988,12/06/1988,.,44,31,57,4.245,3.437,0.00,.,0.808,G,
8,12/06/1988,12/14/1988,.,57,30,58,3.437,4.009,0.81,.,0.238,G,
6,12/14/1988,12/20/1988,.,38,31,57,4.009,4.145,0.31,.,0.174,G,
7,12/20/1988,12/27/1988,.,36,29,54,4.145,3.325,0.00,.,0.820,G,
7,12/27/1988,01/03/1989,.,40,29,49,3.325,2.829,0.00,.,0.496,G,
8,01/03/1989,01/11/1989,.,55,29,67,4.496,3.839,0.11,.,0.767,G,
6,01/11/1989,01/17/1989,.,47,29,56,3.839,3.311,0.00,.,0.528,G,
7,01/17/1989,01/24/1989,.,57,30,60,3.311,2.486,0.00,.,0.825,G,
7,01/24/1989,01/31/1989,.,48,32,58,4.224,3.823,0.35,.,0.751,G,
7,01/31/1989,02/07/1989,.,31,29,65,3.823,.,0.26,.,.,I,Ice in pan. No readings.
14,01/31/1989,02/14/1989,.,46,29,71,.,2.456,0.00,.,1.627,C,evap between 1/31/89 and 2/14/89
7,02/14/1989,02/21/1989,.,59,34,61,4.477,4.243,0.51,.,0.744,G,
7,02/21/1989,02/28/1989,.,56,45,75,4.243,2.814,0.00,.,1.429,G,
7,02/28/1989,03/07/1989,.,56,30,70,4.008,2.866,0.07,.,1.212,G,
7,03/07/1989,03/14/1989,.,57,40,81,4.823,2.805,0.00,.,2.018,G,
7,03/14/1989,03/21/1989,.,53,30,78,4.529,2.268,0.00,.,2.261,G,
7,03/21/1989,03/28/1989,.,56,34,78,3.338,2.063,0.58,.,1.855,G,
7,03/28/1989,04/04/1989,.,70,42,84,4.062,1.732,0.00,.,2.330,G,
7,04/04/1989,04/11/1989,.,59,35,89,4.065,1.613,0.00,.,2.452,G,
7,04/11/1989,04/18/1989,.,88,44,89,4.311,1.927,0.00,.,2.384,G,
7,04/18/1989,04/25/1989,.,63,57,90,4.351,1.625,0.00,.,2.726,G,
7,04/25/1989,05/02/1989,.,78,40,85,4.497,1.895,0.00,.,2.602,G,
7,05/02/1989,05/09/1989,.,60,50,83,4.652,1.437,0.00,.,3.215,G,
7,05/09/1989,05/16/1989,.,58,44,89,3.651,0.904,0.37,.,3.117,G,
7,05/16/1989,05/23/1989,.,88,43,94,4.791,1.727,0.05,.,3.114,G,
7,05/23/1989,05/30/1989,.,86,51,93,4.921,1.311,0.01,.,3.620,G,
7,05/30/1989,06/06/1989,.,64,46,92,4.837,1.569,0.00,.,3.268,G,
7,06/06/1989,06/13/1989,.,76,51,95,4.476,0.686,0.00,.,3.790,G,
7,06/13/1989,06/20/1989,.,72,57,98,5.019,1.545,0.00,.,3.474,G,
7,06/20/1989,06/27/1989,.,65,52,94,5.047,1.277,0.00,.,3.770,G,
7,06/27/1989,07/04/1989,.,76,58,100,5.053,1.224,0.00,.,3.829,G,
7,07/04/1989,07/11/1989,.,68,63,97,5.089,1.878,0.00,.,3.211,G,
7,07/11/1989,07/18/1989,.,77,60,98,5.036,2.688,0.69,.,3.038,G,
7,07/18/1989,07/25/1989,.,67,60,97,5.009,3.989,1.35,.,2.370,G,
7,07/25/1989,08/01/1989,.,70,59,90,3.989,4.011,1.41,.,1.388,G,
7,08/01/1989,08/08/1989,.,76,67,98,4.011,2.447,0.89,.,2.454,G,
7,08/08/1989,08/15/1989,.,67,58,96,4.897,4.033,1.38,.,2.244,G,
7,08/15/1989,08/22/1989,.,72,59,97,4.033,2.715,0.67,.,1.988,G,
7,08/22/1989,08/29/1989,.,79,60,93,4.733,3.533,0.44,.,1.640,G,
7,08/29/1989,09/05/1989,.,80,59,95,3.533,2.606,0.64,.,1.567,G,
7,09/05/1989,09/12/1989,.,71,53,92,4.822,3.116,0.00,.,1.706,G,
7,09/12/1989,09/19/1989,.,81,53,87,4.575,3.379,0.44,.,1.636,G,
7,09/19/1989,09/26/1989,.,80,48,90,4.249,2.382,0.04,.,1.907,G,
7,09/26/1989,10/03/1989,.,79,48,82,4.846,3.006,0.00,.,1.840,G,
7,10/03/1989,10/10/1989,.,76,47,83,4.835,3.953,0.48,.,1.362,G,
7,10/10/1989,10/17/1989,.,68,43,80,3.953,2.325,0.00,.,1.628,G,
7,10/17/1989,10/24/1989,.,66,36,76,4.939,3.661,0.01,.,1.288,G,
7,10/24/1989,10/31/1989,.,48,34,75,4.672,3.012,0.00,.,1.660,G,
7,10/31/1989,11/07/1989,.,62,34,69,3.012,1.805,0.00,.,1.207,G,
7,11/07/1989,11/14/1989,.,63,36,67,4.214,2.846,0.00,.,1.368,G,
6,11/14/1989,11/20/1989,.,57,33,65,2.846,1.923,0.00,.,0.923,G,
10,11/20/1989,11/30/1989,.,42,31,67,4.629,3.343,0.16,.,1.446,G,
5,11/30/1989,12/05/1989,.,54,31,55,4.764,4.333,0.00,.,0.431,G,
7,12/05/1989,12/12/1989,.,41,29,57,4.333,3.362,0.00,.,0.971,G,
7,12/12/1989,12/19/1989,.,49,30,55,4.537,3.675,0.00,.,0.862,G,
7,12/19/1989,12/26/1989,.,41,29,54,4.743,4.029,0.00,.,0.714,G,
7,12/26/1989,01/02/1990,.,52,58,30,4.029,4.233,0.67,.,0.466,C,Rain: 12/28 and 12/29/89
9,01/02/1990,01/11/1990,.,59,29,61,4.233,3.499,0.00,.,0.734,G,
14,01/11/1990,01/25/1990,.,49,29,60,4.341,3.339,0.20,.,1.202,G,
7,01/25/1990,02/01/1990,.,46,30,61,4.579,3.509,0.00,.,1.070,G,
7,02/01/1990,02/08/1990,.,58,29,61,3.509,3.031,0.28,.,0.758,G,
7,02/08/1990,02/15/1990,.,38,29,68,3.031,2.131,0.15,.,1.050,G,
14,02/15/1990,03/01/1990,.,63,29,72,4.262,2.243,0.07,.,2.089,G,
7,03/01/1990,03/08/1990,.,74,35,75,3.465,2.051,0.00,.,1.414,G,
7,03/08/1990,03/15/1990,.,58,29,70,1.958,1.094,0.32,.,1.184,G,
14,03/15/1990,03/29/1990,.,63,35,78,4.396,1.211,0.00,.,3.185,G,
7,03/29/1990,04/05/1990,.,72,40,79,4.529,3.791,0.83,.,1.568,G,
7,04/05/1990,04/12/1990,.,68,43,83,3.791,1.896,0.00,.,1.895,G,
7,04/12/1990,04/19/1990,.,81,42,86,4.661,2.132,0.00,.,2.529,G,
7,04/19/1990,04/26/1990,.,77,39,83,4.071,2.019,0.14,.,2.192,G,
7,04/26/1990,05/03/1990,.,60,40,84,4.021,1.746,0.45,.,2.725,G,
7,05/03/1990,05/10/1990,.,57,45,90,3.715,1.347,0.00,.,2.368,G,
7,05/10/1990,05/17/1990,.,71,46,90,4.713,1.428,0.00,.,3.285,G,
7,05/17/1990,05/24/1990,.,65,48,96,4.755,1.558,0.00,.,3.197,G,
7,05/24/1990,05/31/1990,.,91,46,91,4.883,1.184,0.00,.,3.699,G,
7,05/31/1990,06/07/1990,.,61,50,96,4.362,0.839,0.00,.,3.523,G,
7,06/07/1990,06/14/1990,.,61,56,94,4.862,1.541,0.00,.,3.321,G,
7,06/14/1990,06/21/1990,.,76,54,99,4.841,1.049,0.00,.,3.792,G,
7,06/21/1990,06/28/1990,.,65,59,102,4.470,0.671,0.00,.,3.799,G,
7,06/28/1990,07/05/1990,.,64,59,100,4.653,1.991,0.54,.,3.202,G,
7,07/05/1990,07/12/1990,.,70,62,98,4.917,3.493,1.09,.,2.514,G,
7,07/12/1990,07/19/1990,.,77,60,96,4.601,2.768,0.23,.,2.063,G,
7,07/19/1990,07/26/1990,.,72,58,96,4.053,2.289,0.47,.,2.234,G,
7,07/26/1990,08/02/1990,.,70,48,97,3.332,2.075,0.89,.,2.147,G,
7,08/02/1990,08/09/1990,.,80,57,95,4.337,2.913,0.24,.,1.664,G,
7,08/09/1990,08/16/1990,.,74,61,93,4.947,3.427,0.35,.,1.870,G,
7,08/16/1990,08/23/1990,.,84,57,93,4.779,2.942,0.19,.,2.027,G,
7,08/23/1990,08/30/1990,.,79,61,94,5.096,3.027,0.36,.,2.429,G,
7,08/30/1990,09/06/1990,.,79,61,91,4.827,3.495,0.28,.,1.612,G,
7,09/06/1990,09/13/1990,.,79,59,94,4.584,2.939,0.28,.,1.925,G,
7,09/13/1990,09/20/1990,.,73,58,89,4.836,3.349,0.08,.,1.567,G,
7,09/20/1990,09/27/1990,.,70,54,88,4.718,4.259,0.67,.,1.129,G,
7,09/27/1990,10/04/1990,.,64,51,82,5.027,4.327,0.65,.,1.350,G,
7,10/04/1990,10/11/1990,.,56,41,83,5.132,3.484,0.00,.,1.648,G,
7,10/11/1990,10/18/1990,.,58,45,76,4.762,3.074,0.00,.,1.688,G,
7,10/18/1990,10/25/1990,.,53,39,76,4.792,3.408,0.00,.,1.384,G,
7,10/25/1990,11/01/1990,.,58,45,73,4.446,3.094,0.00,.,1.352,G,
7,11/01/1990,11/08/1990,.,46,34,65,4.354,3.992,0.48,.,0.842,G,
7,11/08/1990,11/15/1990,.,56,48,66,3.992,3.241,0.00,.,0.751,G,
6,11/15/1990,11/21/1990,.,49,42,67,4.903,4.132,0.01,.,0.781,G,
8,11/21/1990,11/29/1990,.,41,31,64,4.132,3.262,0.18,.,1.050,G,
7,11/29/1990,12/06/1990,.,45,32,59,4.733,4.099,0.00,.,0.634,G,
8,12/06/1990,12/14/1990,.,54,31,59,4.735,4.119,0.08,.,0.696,G,
6,12/14/1990,12/20/1990,.,39,31,60,4.119,4.007,0.44,.,0.552,G,
7,12/20/1990,12/27/1990,.,  .,  .,  .,4.007,  .,0.00,.,.,I,Pan frozen/No readings
14,12/20/1990,01/03/1991,.,51,31,62,  .,3.304,0.30,.,1.003,G,
7,01/03/1991,01/10/1991,.,52,37,57,4.815,4.483,0.32,.,0.652,G,
7,01/10/1991,01/17/1991,.,40,33,56,4.483,3.911,0.01,.,0.582,G,
7,01/17/1991,01/24/1991,.,47,32,54,3.911,3.828,0.24,.,0.323,G,
7,01/24/1991,01/31/1991,.,50,31,66,4.684,3.879,0.02,.,0.825,G,
7,01/31/1991,02/07/1991,.,57,33,62,3.879,3.036,0.00,.,0.843,G,
7,02/07/1991,02/14/1991,.,64,37,69,3.036,2.572,0.28,.,0.744,G,
7,02/14/1991,02/21/1991,.,56,35,67,4.524,3.794,0.11,.,0.840,G,
8,02/21/1991,03/01/1991,.,46,37,68,3.794,3.201,0.59,.,1.183,G,
6,03/01/1991,03/07/1991,.,62,37,73,3.201,2.074,0.19,.,1.317,G,
7,03/07/1991,03/14/1991,.,56,33,69,3.497,2.125,0.00,.,1.372,G,
7,03/14/1991,03/21/1991,.,40,33,72,3.953,2.617,0.16,.,1.496,G,
7,03/21/1991,03/28/1991,.,53,34,77,2.617,1.319,0.00,.,1.298,G,
7,03/28/1991,04/04/1991,.,79,35,79,3.156,1.535,0.00,.,1.621,G,
7,04/04/1991,04/11/1991,.,75,40,82,4.189,1.609,0.00,.,2.580,G,
7,04/11/1991,04/18/1991,.,76,46,81,4.059,1.639,0.00,.,2.420,G,
7,04/18/1991,04/25/1991,.,82,43,83,4.131,1.424,0.00,.,2.707,G,
7,04/25/1991,05/02/1991,.,81,36,84,4.492,1.818,0.00,.,2.674,G,
7,05/02/1991,05/09/1991,.,76,44,91,4.548,1.703,0.00,.,2.845,G,
7,05/09/1991,05/16/1991,.,88,46,89,4.692,1.123,0.00,.,3.569,G,
7,05/16/1991,05/23/1991,.,85,51,92,4.089,1.382,0.07,.,2.777,G,
7,05/23/1991,05/30/1991,.,87,50,90,4.719,1.231,0.00,.,3.488,G,
7,05/30/1991,06/06/1991,.,89,50,91,4.362,1.805,0.00,.,2.557,G,
7,06/06/1991,06/13/1991,.,88,55,91,4.803,2.552,0.24,.,2.491,G,
7,06/13/1991,06/20/1991,.,72,55,95,4.933,1.726,0.01,.,3.217,G,
7,06/20/1991,06/27/1991,.,85,54,100,4.418,0.700,0.00,.,3.718,E,Just below this reading
7,06/27/1991,07/04/1991,.,77,61,100,3.576,1.793,0.92,.,2.703,G,
7,07/04/1991,07/11/1991,.,74,62,99,4.311,1.997,0.22,.,2.534,G,
7,07/11/1991,07/18/1991,.,92,62,92,4.945,3.958,0.43,.,1.417,G,
7,07/18/1991,07/25/1991,.,61,61,91,4.953,4.201,1.06,.,1.812,G,
7,07/25/1991,08/01/1991,.,85,61,91,4.201,3.021,0.02,.,1.200,G,
7,08/01/1991,08/08/1991,.,86,52,95,4.823,3.886,0.62,.,1.557,G,
6,08/08/1991,08/14/1991,.,85,63,95,4.998,.,2.40,.,.,H,Too high to read.
8,08/14/1991,08/22/1991,.,83,63,98,4.843,3.055,0.21,.,1.998,G,
7,08/22/1991,08/29/1991,.,72,62,98,4.527,2.781,0.14,.,1.886,G,
7,08/29/1991,09/05/1991,.,69,60,93,4.483,3.193,0.29,.,1.580,G,
7,09/05/1991,09/12/1991,.,62,59,92,4.105,2.861,0.12,.,1.364,G,
7,09/12/1991,09/19/1991,.,54,52,88,3.899,4.398,2.42,.,1.921,G,
7,09/19/1991,09/26/1991,.,71,49,86,4.398,3.253,0.00,.,1.145,G,
7,09/26/1991,10/03/1991,.,71,52,85,4.777,3.146,0.00,.,1.631,G,
7,10/03/1991,10/10/1991,.,55,50,83,4.962,3.238,0.00,.,1.724,C,Moved evap pan location to LTER Weather Station this date after reading.
7,10/10/1991,10/17/1991,.,49,45,79,4.321,2.475,0.00,.,1.846,G,
7,10/17/1991,10/24/1991,.,63,45,79,4.117,2.359,0.02,.,1.778,G,
7,10/24/1991,10/31/1991,.,36,32,71,3.547,2.629,0.41,.,1.328,G,
7,10/31/1991,11/07/1991,.,58,35,67,3.584,2.787,0.00,.,0.797,G,
7,11/07/1991,11/14/1991,.,53,38,70,3.637,3.232,0.21,.,0.615,G,
7,11/14/1991,11/21/1991,.,36,34,58,4.277,3.833,0.39,.,0.834,G,
6,11/21/1991,11/27/1991,.,39,32,62,3.833,3.179,0.00,.,0.654,G,
8,11/27/1991,12/05/1991,.,36,32,59,4.188,3.501,0.19,.,0.877,G,
7,12/05/1991,12/12/1991,.,55,36,60,4.085,4.212,0.74,.,0.613,G,
9,12/12/1991,12/21/1991,.,44,33,58,4.212,.,1.51,.,.,H,water level above gauge max
5,12/21/1991,12/26/1991,.,42,35,51,4.796,.,1.41,.,.,H,Water level above gauge max
7,12/26/1991,01/02/1992,.,39,31,56,4.347,3.954,0.00,.,0.393,G,
7,01/02/1992,01/09/1992,.,50,33,56,3.954,4.195,0.54,.,0.299,G,
7,01/09/1992,01/16/1992,.,38,32,63,4.195,4.740,1.04,.,.,I,1/2'ice on pan/above line
14,01/09/1992,01/23/1992,.,45,31,53,4.740,4.684,0.07,.,1.661,G,
7,01/23/1992,01/30/1992,.,51,33,58,4.684,4.121,0.03,.,0.593,G,
7,01/30/1992,02/06/1992,.,51,36,60,4.121,3.446,0.00,.,0.675,G,
7,02/06/1992,02/13/1992,.,54,36,62,4.452,4.007,0.15,.,0.595,G,
7,02/13/1992,02/20/1992,.,49,35,65,4.007,2.957,0.00,.,1.050,G,
7,02/20/1992,02/27/1992,.,55,33,65,4.174,2.953,0.00,.,1.221,G,
7,02/27/1992,03/05/1992,.,61,47,68,4.133,3.278,0.35,.,1.205,G,
7,03/05/1992,03/12/1992,.,70,35,70,3.655,2.345,0.00,.,1.310,G,
7,03/12/1992,03/19/1992,.,55,37,74,4.301,2.789,0.03,.,1.542,G,
7,03/19/1992,03/26/1992,.,58,38,76,4.838,2.873,0.00,.,1.965,G,
7,03/26/1992,04/02/1992,.,61,40,76,4.128,2.941,0.34,.,1.527,G,
7,04/02/1992,04/09/1992,.,73,40,83,4.439,2.621,0.00,.,1.818,G,
7,04/09/1992,04/16/1992,.,74,45,85,4.349,2.151,0.09,.,2.288,G,
7,04/16/1992,04/23/1992,.,80,41,81,4.581,2.354,0.26,.,2.487,G,
7,04/23/1992,04/30/1992,.,77,48,91,4.425,1.718,0.00,.,2.707,G,
7,04/30/1992,05/07/1992,.,64,51,85,4.727,4.057,1.11,.,1.780,G,
7,05/07/1992,05/14/1992,.,78,49,88,4.057,1.978,0.04,.,2.119,G,
7,05/14/1992,05/21/1992,.,88,54,93,3.991,2.311,0.29,.,1.970,G,
7,05/21/1992,05/28/1992,.,88,48,88,2.311,2.035,1.53,.,1.806,G,
7,05/28/1992,06/04/1992,.,86,52,89,4.394,2.955,0.47,.,1.909,G,
7,06/04/1992,06/11/1992,.,75,52,93,4.154,1.641,0.00,.,2.513,G,
7,06/11/1992,06/18/1992,.,94,46,95,3.963,.,0.00,.,.,M,Less than .800/below gauge
7,06/18/1992,06/25/1992,.,95,57,96,4.273,1.263,0.00,.,3.010,G,
7,06/25/1992,07/02/1992,.,60,55,96,4.835,0.955,0.00,.,3.880,G,
7,07/02/1992,07/09/1992,.,74,56,101,5.783,1.053,0.07,.,4.800,G,
6,07/09/1992,07/15/1992,.,62,56,97,4.728,1.982,0.07,.,2.816,G,
8,07/15/1992,07/23/1992,.,91,59,99,4.602,1.502,0.31,.,3.410,G,
7,07/23/1992,07/30/1992,.,69,64,96,3.932,3.211,1.45,.,2.171,G,
8,07/30/1992,08/07/1992,.,74,61,95,4.418,3.437,1.51,.,2.491,C,"Beginning this date, rain values from DSRG at LTER Weather Station."
7,08/07/1992,08/14/1992,.,76,63,97,4.389,3.647,1.46,.,2.202,G,
6,08/14/1992,08/20/1992,.,91,51,99,4.232,2.587,0.48,.,2.125,G,
6,08/20/1992,08/26/1992,.,86,61,92,4.423,3.429,0.45,.,1.444,G,
8,08/26/1992,09/03/1992,.,75,56,92,4.318,2.378,0.00,.,1.940,G,
7,09/03/1992,09/10/1992,.,64,53,91,4.130,2.046,0.00,.,2.084,G,
7,09/10/1992,09/17/1992,.,72,58,92,4.198,2.160,0.14,.,2.178,G,
8,09/17/1992,09/25/1992,.,73,53,89,4.162,2.314,0.15,.,1.998,G,
6,09/25/1992,10/01/1992,.,70,44,86,3.352,1.734,0.00,.,1.618,G,
7,10/01/1992,10/08/1992,.,53,39,80,4.118,2.737,0.00,.,1.381,G,
7,10/08/1992,10/15/1992,.,58,42,86,4.340,2.878,0.00,.,1.462,G,
7,10/15/1992,10/22/1992,.,71,42,78,4.276,2.466,0.00,.,1.810,G,
6,10/22/1992,10/28/1992,.,55,52,77,4.630,.,1.56,.,.,H,New water level too high to measure. Level reset by bailing out excess (volume removed not measured)
9,10/28/1992,11/06/1992,.,55,35,70,3.890,2.580,0.00,.,1.310,G,
7,11/06/1992,11/13/1992,.,58,34,67,3.800,2.774,0.00,.,1.026,G,
6,11/13/1992,11/19/1992,.,60,37,66,3.795,2.938,0.00,.,0.857,G,
6,11/19/1992,11/25/1992,.,37,31,73,3.910,3.218,0.02,.,.,I,-Ice on pan;broken into
9,11/25/1992,12/04/1992,.,48,31,51,4.348,3.778,0.14,.,.,I,4-5 pieces before meas. [ice]
7,12/04/1992,12/11/1992,.,46,31,66,3.778,5.023,1.27,.,.,H,Level too high.Bailed 36.050L to present level.
6,12/11/1992,12/17/1992,.,37,32,70,3.827,3.378,0.00,.,0.449,G,
6,12/17/1992,12/23/1992,.,46,32,69,3.378,2.865,0.00,.,.,I,"12/17/92-.5"" ice broken into 2-4"" pieces."
16,12/17/1992,01/02/1993,.,52,35,63,3.631,3.134,0.22,.,0.464,G,
9,01/02/1993,01/11/1993,.,57,32,61,3.134,3.108,0.87,.,0.896,G,
4,01/11/1993,01/15/1993,.,52,36,55,3.602,3.618,0.21,.,0.194,G,
6,01/15/1993,01/21/1993,.,58,36,62,3.618,4.036,0.80,.,0.382,G,
8,01/21/1993,01/29/1993,.,58,33,62,4.036,3.158,0.00,.,0.878,G,
5,01/29/1993,02/03/1993,.,59,35,62,3.258,2.664,0.00,.,0.594,G,
9,02/03/1993,02/12/1993,.,40,30,61,3.134,2.370,0.14,.,0.904,G,
7,02/12/1993,02/19/1993,.,69,33,69,2.500,1.790,0.28,.,0.990,G,
7,02/19/1993,02/26/1993,.,47,36,70,3.440,2.478,0.17,.,1.132,G,
7,02/26/1993,03/05/1993,.,55,35,67,3.670,3.070,0.28,.,0.880,G,
6,03/05/1993,03/11/1993,.,67,37,74,3.961,2.396,0.00,.,1.565,G,
8,03/11/1993,03/19/1993,.,61,34,77,4.174,2.559,0.05,.,1.665,G,
6,03/19/1993,03/25/1993,.,53,30,81,4.216,2.765,0.00,.,1.451,G,
7,03/25/1993,04/01/1993,.,70,37,79,4.302,2.476,0.00,.,1.826,G,
7,04/01/1993,04/08/1993,.,58,38,78,4.322,2.034,0.00,.,2.288,G,
8,04/08/1993,04/16/1993,.,51,35,83,3.350,2.422,0.00,.,0.928,G,
7,04/16/1993,04/23/1993,.,56,38,86,4.502,1.809,0.00,.,2.693,G,
6,04/23/1993,04/29/1993,.,81,45,88,4.604,1.974,0.00,.,2.630,G,
8,04/29/1993,05/07/1993,.,64,40,87,3.804,.,0.02,.,.,L,Too low to measure.
6,05/07/1993,05/13/1993,.,68,43,90,4.010,1.232,0.00,.,2.778,C,Pan cleaned; refilled.
8,05/13/1993,05/21/1993,.,89,51,91,4.552,1.470,0.00,.,3.082,G,
6,05/21/1993,05/27/1993,.,89,53,92,4.390,2.400,0.38,.,2.370,G,
7,05/27/1993,06/03/1993,.,84,51,93,4.324,0.819,0.00,.,3.505,G,
7,06/03/1993,06/10/1993,.,70,45,92,4.360,0.690,0.00,.,3.670,G,
7,06/10/1993,06/17/1993,.,65,58,96,4.584,1.439,0.16,.,3.305,G,
8,06/17/1993,06/25/1993,.,72,54,99,4.565,1.107,0.48,.,3.938,G,
5,06/25/1993,06/30/1993,.,65,63,98,4.556,1.724,0.00,.,2.832,G,
7,06/30/1993,07/07/1993,.,85,60,96,4.562,1.142,0.00,.,3.420,G,
8,07/07/1993,07/15/1993,.,67,61,99,5.088,3.690,1.61,.,3.008,G,
7,07/15/1993,07/22/1993,.,68,63,97,4.820,3.500,0.84,.,2.160,G,
6,07/22/1993,07/28/1993,.,73,61,97,4.854,1.975,0.00,.,2.879,G,
7,07/28/1993,08/04/1993,.,71,62,100,4.146,1.552,0.21,.,2.804,G,
9,08/04/1993,08/13/1993,.,82,59,98,4.451,1.553,0.21,.,3.108,G,
6,08/13/1993,08/19/1993,.,71,63,96,4.346,3.279,0.35,.,1.417,G,
7,08/19/1993,08/26/1993,.,74,58,95,3.845,1.771,0.20,.,2.274,G,
